rev-sym,iata-req,onu,Nombre apropiado de envío/Descripción,Clase o Div. (Peligros sec.),Etiqueta(s) de peligro,Grp. De emb.,EQ,APCCL-embalaje,APCCL-neta-máx-bulto,APC-embalaje,APC-neta-máx-bulto,AC-embalaje,AC-neta-máx-bulto,Disp-espec,CRE,ingles
,,,"Balizas de señales explosivas para ferrocarrill o carretera, ver Artificios manuales de pirotecnia para señales † (UN 0191, UN 0373)",,,,,,,,,,,,,
,,,"Balsas salvavidas, ver Aparatos de salvamento autoinflables (UN 2990)",,,,,,,,,,,,,
,,,"Bario, aleaciones de, ver Metales alcalinotérreos, aleación de, n.e.p. (UN 1393)",,,,,,,,,,,,,
,,,"Barnices, ver Pintura (UN 1263)",,,,,,,,,,,,,
,,,"Bases para lacas, ver Pintura (UN 1263)",,,,,,,,,,,,,
,,,"Baterías eléctricas, húmedas, ver Acumuladores de electrólito líquido ácido † (UN 2794) o Acumuladores de electrólito líquido alcalino † (UN 2795) o Acumuladores no derramables de electrólito líquido † (UN 2800)",,,,,,,,,,,,,
,,,Bebidas alcohólicas que contengan un 24% ó menos de alcohol en volumen,,,,,No restringido,No restringido,No restringido,No restringido,No restringido,No restringido,,,
,,,"Bebidas concentradas, ver Líquido corrosivo, n.e.p. ★ (UN 1760)",,,,,,,,,,,,,
,,,"Bencenotiol, ver Fenilmercaptano (UN 2337)",,,,,,,,,,,,,
,,,"Bengalas, activadas por agua, ver Dispositivos activados por el agua † ★ (UN 0248, UN 0249)",,,,,,,,,,,,,
,,,"Bengalas de aviones, ver Bengalas aéreas † (UN 0093, UN 0403, UN 0404, UN 0420, UN 0421)",,,,,,,,,,,,,
,,,"Bengalas de señales, ver Cartuchos de señales † (UN 0054, UN 0312) o Cartuchos para señales † (UN 0405)",,,,,,,,,,,,,
,,,"Bengalas de señales para carreteras, ver Artificios manuales de pirotecnia para señales † (UN 0191, UN 0373)",,,,,,,,,,,,,
,,,"Bengalas de socorro, pequeñas, ver Artificios manuales de pirotecnia para señales † (UN 0191, UN 0373)",,,,,,,,,,,,,
,,,"1,3,2-Benzodioxaborolano",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A210,,
,,,"Benzol, ver Benceno (UN 1114)",,,,,,,,,,,,,
,,,"Benzoleno, ver Destilados de petróleo, n.e.p. (UN 1268)",,,,,,,,,,,,,
,,,"Benzosulfocloruro, ver Cloruro de bencenosulfonilo (UN 2225)",,,,,,,,,,,,,
,,,Benzoxidiazol (seco),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Betunes, ver Pintura (UN 1263)",,,,,,,,,,,,,
,,,"Bicloruro de mercurio, ver Cloruro mercúrico (UN 1624)",,,,,,,,,,,,,
,,,"Bifluoruro amónico en solución, ver Hidrógenodifluoruro amónico en solución (UN 2817)",,,,,,,,,,,,,
,,,"Bifluoruro amónico, sólido, ver Hidrógenodifluoruro amónico sólido (UN 1727)",,,,,,,,,,,,,
,,,"Bifluoruro de potasio, ver Hidrógenodifluoruro de potasio, sólido (UN 1811) o Hidrógenodifluoruro de potasio en solución (UN 3421)",,,,,,,,,,,,,
,,,"Bifluoruro de sodio, ver Hidrógenodifluoruro de sodio (UN 2439)",,,,,,,,,,,,,
,,,"Bifluoruros en solución, n.e.p. , ver Hidrogenodifluoruros en solución, n.e.p. (UN 3471)",,,,,,,,,,,,,
,,,"Bifluoruros, sólidos, n.e.p. , ver Hidrogenodifluoruros sólidos, n.e.p. (UN 1740)",,,,,,,,,,,,,
,,,"Binóxido de bario, ver Peróxido de bario (UN 1449)",,,,,,,,,,,,,
,,,"Bisulfato amónico, ver Sulfato ácido de amonio (UN 2506)",,,,,,,,,,,,,
,,,"Bisulfato de mercurio, ver Sulfato de mercurio (UN 1645)",,,,,,,,,,,,,
,,,"Bisulfato mercurioso, ver Sulfato de mercurio (UN 1645)",,,,,,,,,,,,,
,,,"Bisulfato potásico, ver Sulfato ácido de potasio (UN 2509)",,,,,,,,,,,,,
,,,"Bisulfato sodico en solución, ver Bisulfatos en solución acuosa (UN 2837)",,,,,,,,,,,,,
,,,"Bisulfito amónico en solución, ver Bisulfitos en solución acuosa, n.e.p. ★ (UN 2693)",,,,,,,,,,,,,
,,,"Bisulfito cálcico en solución, ver Bisulfitos en solución acuosa, n.e.p. ★ (UN 2693)",,,,,,,,,,,,,
,,,"Bisulfito de cinc en solución, ver Bisulfitos en solución acuosa, n.e.p. ★ (UN 2693)",,,,,,,,,,,,,
,,,"Bisulfito magnésico en solución, ver Bisulfitos en solución acuosa, n.e.p. ★ (UN 2693)",,,,,,,,,,,,,
,,,"Bisulfito potásico en solución, ver Bisulfitos en solución acuosa, n.e.p. ★ (UN 2693)",,,,,,,,,,,,,
,,,"Bisulfito sódico en solución, ver Bisulfitos en solución acuosa, n.e.p. ★ (UN 2693)",,,,,,,,,,,,,
,,,"Bisulfuro de carbono, ver Disulfuro de carbono (UN 1131)",,,,,,,,,,,,,
,,,"Blanqueador, líquido blanqueador o Blanqueador en solución, ver Hipoclorito en solución † (UN 1791)",,,,,,,,,,,,,
,,,"Bombas iluminantes, ver Municiones iluminantes † (UN 0171, UN 0254, UN 0297)",,,,,,,,,,,,,
,,,"Bombas para identificación de blancos, ver Municiones iluminantes † (UN 0171, UN 0254, UN 0297)",,,,,,,,,,,,,
,,,"Bonote, ver Fibras de origen vegetal, n.e.p. (UN 1373) o Tejidos de origen vegetal, n.e.p. (UN 1373)",,,,,,,,,,,,,
,,,"Borato de trietilo, ver Borato de etilo (UN 1176)",,,,,,,,,,,,,
,,,"Borato y clorato en mezcla, ver Mezcla de clorato y borato (UN 1458)",,,,,,,,,,,,,
,,,"Borra de algodón, grasienta, ver Desechos grasientos de algodón (UN 1364)",,,,,,,,,,,,,
,,,Briquetas de carbón caliente,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Bromato amónico,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"omega-Bromoacetofenona, ver Bromuro de fenacilo (UN 2645)",,,,,,,,,,,,,
,,,"4-Bromo-1,2-dinitrobenceno",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"1-Bromo-2,3-epoxipropano, ver Epibromhidrina (UN 2558)",,,,,,,,,,,,,
,,,"Bromoetano, ver Bromuro de etilo (UN 1891)",,,,,,,,,,,,,
,,,"Bromometano, ver Bromuro de metilo (UN 1062)",,,,,,,,,,,,,
,,,Bromosilano,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Bromotolueno-alfa, ver Bromuro de bencilo (UN 1737)",,,,,,,,,,,,,
,,,"Bromuro de arsénico(III), ver Bromuro de arsénico (UN 1555)",,,,,,,,,,,,,
,,,"Bromuro de n-Butilo, ver 1-Bromobutano (UN 1126)",,,,,,,,,,,,,
,,,"Bromuro de fósforo, ver Tribromuro de fósforo (UN 1808)",,,,,,,,,,,,,
,,,"Bromuro de hidrógeno en solución, ver Ácido bromhídrico (UN 1788)",,,,,,,,,,,,,
,,,"Bromuro de metileno, ver Dibromometano (UN 2664)",,,,,,,,,,,,,
,,,"Bromuro de metilo y cloropicrina, en mezcla, ver Mezcla de cloropicrina y bromuro de metilo (UN 1581)",,,,,,,,,,,,,
,,,"Bromuro de metilo y dibromuro de etileno en mezcla, líquida, ver Mezcla de bromuro de metilo y dibromuro de etileno, líquida (UN 1647)",,,,,,,,,,,,,
,,,"Bromuro de nitrobenceno, ver Nitrobromobencenos líquidos (UN 2732) o Nitrobromobencenos sólidos (UN 3459)",,,,,,,,,,,,,
,,,Bromuro de oro dietilo,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Bromuro de vinilo, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Butadienos, no estabilizados",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Butanona, ver Etilmetilcetona (UN 1193)",,,,,,,,,,,,,
,,,"Butano, sus mezclas y otras mezclas de propiedades semejantes, en envases que no excedan de 500 gramos cada uno, ver Recipientes pequeños, que contienen gas (UN 2037)",,,,,,,,,,,,,
,,,"1-Butanotiol, ver Butilmercaptano (UN 2347)",,,,,,,,,,,,,
,,,"2-Butenal, ver Crotonaldehído (UN 1143) o Crotonaldehído, estabilizado (UN 1143)",,,,,,,,,,,,,
,,,"Buteno, ver Butileno (UN 1012)",,,,,,,,,,,,,
,,,"But-1-en-3-ona, ver Metilvinilcetona, estabilizada (UN 1251)",,,,,,,,,,,,,
,,,"2-Buteno-1-ol, ver Alcohol metalílico (UN 2614)",,,,,,,,,,,,,
,,,"1,2-Butenóxido, ver Óxido de 1,2-butileno, estabilizado (UN 3022)",,,,,,,,,,,,,
,,,"sec-Butilbenceno, ver Butilbencenos (UN 2709)",,,,,,,,,,,,,
,,,"Butilfenoles, líquidos, ver Alquilfenoles líquidos, n.e.p. (UN 3145)",,,,,,,,,,,,,
,,,"Butilfenoles, sólidos, ver Alquilfenoles sólidos, n.e.p. (UN 2430)",,,,,,,,,,,,,
,,,"N-n-butil iminazol, ver N,n-Butilimidazol (UN 2690)",,,,,,,,,,,,,
,,,"p-terc-Butiltolueno, ver Butiltoluenos (UN 2667)",,,,,,,,,,,,,
,,,"Butil vinil éter, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"1-Butino, ver Etilacetileno, estabilizado (UN 2452)",,,,,,,,,,,,,
,,,"2-Butino-1,4-diol, ver 1,4-Butinodiol (UN 2716)",,,,,,,,,,,,,
,,,"Butirato de vinilo, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Butirona, ver Dipropilcetona (UN 2710)",,,,,,,,,,,,,
,,,"Cabezas de guerra o de combate, ver Cabezas de combate para torpedos † (UN 0221) o Cabezas de combate para cohetes † (UN 0286, UN 0287)",,,,,,,,,,,,,
,,,"Cabezas de misiles guíados, ver Cabezas de combate para cohetes † (UN 0286, UN 0287) o Cabezas de cohete † (UN 0369, UN 0370, UN 0371)",,,,,,,,,,,,,
,,,"Cables, rotura de, ver Cizallas cortacables con carga explosiva † (UN 0070)",,,,,,,,,,,,,
,,,"Cafeína, ver Alcaloides, sólidos, n.e.p. ★ (UN 1544) o Alcaloides, líquidos, n.e.p. ★ (UN 3140)",,,,,,,,,,,,,
,,,"Calcio, aleaciones de, ver Metales alcalinotérreos, aleación de, n.e.p. (UN 1393)",,,,,,,,,,,,,
,,,"Cal clorada, ver Hipoclorito cálcico, seco (UN 1748) o Hipoclorito cálcico, hidratado (UN 2880)",,,,,,,,,,,,,
,,,"Cal nitrogenada, ver Cianamida cálcica (UN 1403)",,,,,,,,,,,,,
,,,"Calor gas † , ver Mezcla de hidrocarburos gaseosos comprimidos, n.e.p. † ★ (UN 1964) o Mezcla de hidrocarburos gaseosos, licuada, n.e.p. † ★ (UN 1965)",,,,,,,,,,,,,
,,,"Cal rápida, ver Óxido cálcico (UN 1910)",,,,,,,,,,,,,
,,,"Cal viva, ver Óxido cálcico (UN 1910)",,,,,,,,,,,,,
,,,"Candelas de gas, ver Encendedores (UN 1057)",,,,,,,,,,,,,
,,,"Candelas de gas cargadas con gas inflamable, ver Dispositivos pequeños accionados por hidrocarburos gaseosos (UN 3150)",,,,,,,,,,,,,
,,,"Candelas de gas lacrimógeno, ver Velas lacrimógenas (UN 1700)",,,,,,,,,,,,,
,,,"Canfanona, ver Alcanfor (UN 2717)",,,,,,,,,,,,,
,,,"Cantidades exceptuadas de mercancías peligrosas, ver Subsección 2.6",,,,,,,,,,,,,
,,,"Cápsulas detonantes, ver Detonadores eléctricos † (UN 0030, UN 0255, UN 0456)",,,,,,,,,,,,,
,,,"Cápsulas fulminantes, ver Cebos del tipo de cápsula † (UN 0044, UN 0377, UN 0378)",,,,,,,,,,,,,
,,,Carbonilo potásico,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Carbón no activado, de origen mineral",,,,,No restringido,No restringido,No restringido,No restringido,No restringido,No restringido,,,
,,,"Carbón vegetal activado, ver Carbón activado (UN 1362)",,,,,,,,,,,,,
,,,"Carbón vegetal, húmedo",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Carbón vegetal, resíduos de cribado, húmedo",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Carburantes de motores, mezclas antidetonantes, ver Mezcla antidetonante para carburantes de motores † (UN 1649)",,,,,,,,,,,,,
,,,"Cargas de saquete, ver Cargas propulsoras de artillería † (UN 0242, UN 0279, UN 0414)",,,,,,,,,,,,,
,,,"Cargas explosivas para rotura de cables, ver Cizallas cortacables con carga explosiva † (UN 0070)",,,,,,,,,,,,,
,,,"Cargas explosivas suplementarias, ver Cargas explosivas para petardos multiplicadores † (UN 0060)",,,,,,,,,,,,,
,,,"Cargas expulsoras, explosivas, para extintores de incendios, ver Cartuchos de accionamiento † (UN 0275, UN 0276, UN 0323, UN 0381)",,,,,,,,,,,,,
,,,"Cargas huecas lineales, flexibles y revestidas de metal, ver Mecha detonante perfilada flexible † (UN 0237, UN 0288)",,,,,,,,,,,,,
,,,"Cartuchos cebadores, ver Inflamadores † (UN 0325, UN 0454)",,,,,,,,,,,,,
,,,"Cartuchos de arranque para motores de reacción, ver Cartuchos de accionamiento † (UN 0275, UN 0276, UN 0323, UN 0381)",,,,,,,,,,,,,
,,,"Cartuchos de expulsión de asientos de aeronaves, extintores de incendios o dispositivos para alzar la carlinga, ver Cartuchos de accionamiento † (UN 0275, UN 0276, UN 0323, UN 0381)",,,,,,,,,,,,,
,,,"Cartuchos de gas lacrimogéno, ver Municiones lacrimógenas † (UN 0018, UN 0019, UN 0301)",,,,,,,,,,,,,
,,,"Cartuchos deportivos, ver Cartuchos para armas, con proyectil inerte † (UN 0012)",,,,,,,,,,,,,
,,,"Cartuchos de seguridad, ver Cartuchos para armas, con proyectil inerte † (UN 0012)",,,,,,,,,,,,,
,,,"Cartuchos de seguridad, sin bala, ver Cartuchos para armas, sin bala † (UN 0014)",,,,,,,,,,,,,
,,,"Cartuchos de señales ""Very"", ver Cartuchos de señales † (UN 0054, UN 0312) o Cartuchos para señales † (UN 0405)",,,,,,,,,,,,,
,,,"Cartuchos explosivos, ver Cargas de demolición † (UN 0048)",,,,,,,,,,,,,
,,,"Cartuchos iluminantes, ver Municiones iluminantes † (UN 0171, UN 0254, UN 0297)",,,,,,,,,,,,,
,,,"Cartuchos multiplicadores, ver Multiplicadores con detonador † (UN 0225, UN 0268)",,,,,,,,,,,,,
,,,"Catalizador de cobalto, ver Catalizador de metal humidificado † ★ (UN 1378) o Catalizador de metal seco ★ (UN 2881)",,,,,,,,,,,,,
,,,"Catalizador de metal, humidificado sin visible exceso de líquido †",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Catalizador de níquel, ver Catalizador de metal humidificado † ★ (UN 1378) o Catalizador de metal seco ★ (UN 2881)",,,,,,,,,,,,,
,,,Catecolborano,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A210,,
,,,"Caucho, en soluciones, ver Disolución de caucho (UN 1287)",,,,,,,,,,,,,
,,,"Cayeputeno, ver Dipenteno (UN 2052)",,,,,,,,,,,,,
,,,"Cebos de juguete, ver Artificios de pirotecnia † (UN 0333, UN 0336, UN 0337)",,,,,,,,,,,,,
,,,"Cebos eléctricos, ver Inflamadores † (UN 0325, UN 0454)",,,,,,,,,,,,,
,,,"Cellosolve, ver Eter monoetílico de etilenglicol (UN 1171)",,,,,,,,,,,,,
,,,"Cementos, inflamables † , ver Adhesivos (UN 1133)",,,,,,,,,,,,,
,,,"Cerillas de broma, ver Artificios de pirotecnia † (UN 0333, UN 0334, UN 0335, UN 0336, UN 0337)",,,,,,,,,,,,,
,,,"Cer mischmetal, ver Ferrocerio (UN 1323)",,,,,,,,,,,,,
,,,"Cianamida cálcica con 0,1% o menos de carburo cálcico",,,,,No restringido,No restringido,No restringido,No restringido,No restringido,No restringido,,,
,,,"Cianoacetonitrilo, ver Malononitrilo (UN 2647)",,,,,,,,,,,,,
,,,"Cianuro cúprico, ver Cianuro de cobre (UN 1587)",,,,,,,,,,,,,
,,,"Cianuro de bencilo, ver Fenilacetonitrilo, líquido (UN 2470)",,,,,,,,,,,,,
,,,Cianuro de p-bromobencilo,,,,,No restringido,No restringido,No restringido,No restringido,No restringido,No restringido,,,
,,,"Cianuro de clorometilo, ver Cloroacetonitrilo (UN 2668)",,,,,,,,,,,,,
,,,"Cianuro de fenilo, ver Benzonitrilo (UN 2224)",,,,,,,,,,,,,
,,,"Cianuro de hidrógeno, inestable",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Cianuro de metileno, ver Malononitrilo (UN 2647)",,,,,,,,,,,,,
,,,"Cianuro de metilo, ver Acetonitrilo (UN 1648)",,,,,,,,,,,,,
,,,"Cianuro de niquel(II), ver Cianuro de níquel (UN 1653)",,,,,,,,,,,,,
,,,"Cianuro de plomo(II), ver Cianuro de plomo (UN 1620)",,,,,,,,,,,,,
,,,"Cianuro de tetrametileno, ver Adiponitrilo (UN 2205)",,,,,,,,,,,,,
,,,"Cianuro de vinilo, ver Acrilonitrilo, estabilizado (UN 1093)",,,,,,,,,,,,,
,,,Cianuros férricos,,,,,No restringido,No restringido,No restringido,No restringido,No restringido,No restringido,,,
,,,Cianuros ferrosos,,,,,No restringido,No restringido,No restringido,No restringido,No restringido,No restringido,,,
,,,"Cianuros orgánicos, inflambles, tóxicos, n.e.p. , ver Nitrilos inflamables, tóxicos, n.e.p. ★ (UN 3273)",,,,,,,,,,,,,
,,,"Cianuros orgánicos, tóxicos, n.e.p. , ver Nitrilos líquidos tóxicos, n.e.p. ★ (UN 3276) o Nitrilos sólidos tóxicos, n.e.p. ★ (UN 3439)",,,,,,,,,,,,,
,,,"Cianuros orgánicos, tóxicos, inflamables, n.e.p. , ver Nitrilos, tóxicos, inflamables, n.e.p. ★ (UN 3275)",,,,,,,,,,,,,
,,,"Cianuro y mezcla que contenga cianuro, seco, ver Cianuros inorgánicos, sólidos, n.e.p. ★ (UN 1588)",,,,,,,,,,,,,
,,,"1,3,5-Cicloheptatrieno, ver Cicloheptatrieno (UN 2603)",,,,,,,,,,,,,
,,,"Ciclohexadieno-1,4-diona, ver Benzoquinona (UN 2587)",,,,,,,,,,,,,
,,,"Ciclohexanotiol, ver Ciclohexilmercaptano (UN 3054)",,,,,,,,,,,,,
,,,Ciclotetrametilentetranitramina (seca o sin flemador)(HMX),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Cimol, ver Cimenos (UN 2046)",,,,,,,,,,,,,
,,,Cinabar,,,,,No restringido,No restringido,No restringido,No restringido,No restringido,No restringido,,,
,,,"Cinameno, ver Estireno monómero, estabilizado (UN 2055)",,,,,,,,,,,,,
,,,"Cinamol, ver Estireno monómero, estabilizado (UN 2055)",,,,,,,,,,,,,
,,,"Cineno, ver Dipenteno (UN 2052)",,,,,,,,,,,,,
,,,"Circonio en polvo, humidificado
con el 25% o más de agua (debe peresentar un visible exceso de agua) (a) producico mecánicamente: en partículas de más de 53 micrones; (b) producido químicamente: en partículas de más de 840 micrones",,,,,No restringido,No restringido,No restringido,No restringido,No restringido,No restringido,,,
,,,"Cloral anhidro, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Clorato amónico,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Clorato cúprico, ver Clorato de cobre (UN 2721)",,,,,,,,,,,,,
,,,"Clorato de cobre(II), ver Clorato de cobre (UN 2721)",,,,,,,,,,,,,
,,,Clorato de hidracina,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Clorato de potasa, ver Clorato potásico (UN 1485)",,,,,,,,,,,,,
,,,"Clorato de sosa, ver Clorato sódico (UN 1495)",,,,,,,,,,,,,
,,,"Clorato de talio(I), ver Clorato de talio (UN 2573)",,,,,,,,,,,,,
,,,"Clorato potásico en mezclas con aceite mineral, ver Explosivos para voladuras, Tipo C † (UN 0083)",,,,,,,,,,,,,
,,,"Clorato sódico en mezclas con dinitrotolueno, ver Explosivos para voladuras, Tipo C † (UN 0083)",,,,,,,,,,,,,
,,,"Clorato talioso, ver Clorato de talio (UN 2573)",,,,,,,,,,,,,
,,,"Clorhidrina de etileno, ver Etilenclorhidrina (UN 1135)",,,,,,,,,,,,,
,,,Clorito de plata (seco),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Clorito sódico en solución, ver Clorito en solución (UN 1908)",,,,,,,,,,,,,
,,,Clorito sódico en solución con menos del 5% de cloro activo,,,,,No restringido,No restringido,No restringido,No restringido,No restringido,No restringido,,,
,,,"Cloroacetaldehido, ver 2-Cloroetanal (UN 2232)",,,,,,,,,,,,,
,,,"Cloroacetona, no estabilizada",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Cloroarsina de diclorovinilo,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Clorobenzol, ver Clorobenceno (UN 1134)",,,,,,,,,,,,,
,,,"Clorobromometano, ver Bromoclorometano (UN 1887)",,,,,,,,,,,,,
,,,"1-Cloro-3-bromopropano, ver 1-Bromo-3-cloropropano (UN 2688)",,,,,,,,,,,,,
,,,"Clorobromuro de trimetileno, ver 1-Bromo-3-cloropropano (UN 2688)",,,,,,,,,,,,,
,,,"2-Clorobutano, ver Clorobutanos (UN 1127)",,,,,,,,,,,,,
,,,"1-Clorobutano, ver Clorobutanos (UN 1127)",,,,,,,,,,,,,
,,,"Clorocarbonato de alilo, ver Cloroformiato de alilo (UN 1722)",,,,,,,,,,,,,
,,,"Clorocarbonato de bencilo, ver Cloroformiato de bencilo (UN 1739)",,,,,,,,,,,,,
,,,"Clorocarbonato de etilo, ver Cloroformiato de etilo (UN 1182)",,,,,,,,,,,,,
,,,"Clorocarbonato de metilo, ver Cloroformiato de metilo (UN 1238)",,,,,,,,,,,,,
,,,"3-Cloro-1,2-dihidroxipropano, ver Gliceril alfa-monoclorhidrina (UN 2689)",,,,,,,,,,,,,
,,,"Clorodinitrobenzol, ver Clorodinitrobencenos, líquidos (UN 1577) o Clorodinitrobencenos, sólidos (UN 3441)",,,,,,,,,,,,,
,,,"Cloroetano, ver Cloruro de etilo (UN 1037)",,,,,,,,,,,,,
,,,"2-Cloroetanol, ver Etilenclorhidrina (UN 1135)",,,,,,,,,,,,,
,,,"Cloroetanonitrilo, ver Cloroacetonitrilo (UN 2668)",,,,,,,,,,,,,
,,,"Clorometano, ver Cloruro de metilo (UN 1063)",,,,,,,,,,,,,
,,,"1-Cloro-3-metilbutano, ver Cloruro de amilo (UN 1107)",,,,,,,,,,,,,
,,,"2-Cloro-2-metilbutano, ver Cloruro de amilo (UN 1107)",,,,,,,,,,,,,
,,,"Clorometilmetiléter, ver Metil clorometil éter (UN 1239)",,,,,,,,,,,,,
,,,"2-Cloro-2-metilpropano, ver Clorobutanos (UN 1127)",,,,,,,,,,,,,
,,,"1-Cloro-2-metilpropano, ver Clorobutanos (UN 1127)",,,,,,,,,,,,,
,,,"3-Cloro-metil-1-propeno, ver Cloruro de metilalilo (UN 2554)",,,,,,,,,,,,,
,,,"Cloronítricas, mezclas, ver Mezcla de ácido clorhídrico y ácido nítrico (UN 1798)",,,,,,,,,,,,,
,,,"Cloropreno, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"3-Cloro-propanodiol-1,2, ver Gliceril alfa-monoclorhidrina (UN 2689)",,,,,,,,,,,,,
,,,"3-Cloropropeno, ver Cloruro de alilo (UN 1100)",,,,,,,,,,,,,
,,,"alfa-Cloropropionato de etilo, ver 2-Cloropropionato de etilo (UN 2935)",,,,,,,,,,,,,
,,,"alfa-Cloropropionato de isopropilo, ver 2-Cloropropionato de isopropilo (UN 2934)",,,,,,,,,,,,,
,,,"alfa-Cloropropionato de metilo, ver 2-Cloropropionato de metilo (UN 2933)",,,,,,,,,,,,,
,,,"Clorotrifluoroetileno, ver Trifluocloroetileno, estabilizado (UN 1082)",,,,,,,,,,,,,
,,,"Cloruro anhidro de estaño, ver Cloruro estánico, anhidro (UN 1827)",,,,,,,,,,,,,
,,,"Cloruro antimonioso, ver Tricloruro de antimonio † (UN 1733)",,,,,,,,,,,,,
,,,"Cloruro arsenioso, ver Tricloruro de arsénico (UN 1560)",,,,,,,,,,,,,
,,,"Cloruro cáustico de arsénico, ver Tricloruro de arsénico (UN 1560)",,,,,,,,,,,,,
,,,"Cloruro de anilina, ver Clorhidrato de anilina (UN 1548)",,,,,,,,,,,,,
,,,"Cloruro de arsénico, ver Tricloruro de arsénico (UN 1560)",,,,,,,,,,,,,
,,,Cloruro de bencenodiazonio (seco),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Cloruro de benzal, ver Cloruro de bencilideno (UN 1886)",,,,,,,,,,,,,
,,,"Cloruro de n-butilo, ver Clorobutanos (UN 1127)",,,,,,,,,,,,,
,,,"Cloruro de butiroílo, ver Cloruro de butirilo (UN 2353)",,,,,,,,,,,,,
,,,"Cloruro de carbonilo, ver Fosgeno (UN 1076)",,,,,,,,,,,,,
,,,"Cloruro de cianógeno, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Cloruro de cinc 4-(bencil(etil)amino)-3-etoxibenceno- diazonio, ver Sólido de reacción espontánea de tipo D ★ (UN 3226)",,,,,,,,,,,,,
,,,"Cloruro de cinc 4-(bencil(metil)amino)-3-etoxibenceno-diazonio, ver Sólido de reacción espontánea de tipo D, temperatura controlada ★ (UN 3236)",,,,,,,,,,,,,
